I0,I1,I2,I3,time(sec)
25,26,25,74,116.2
25,25,25,74,116.4
24,25,25,73,116.6
25,26,25,74,116.8
25,25,24,73,117
25,25,24,74,117.2
25,25,25,73,117.4
25,25,25,74,117.6
26,26,26,75,117.8
25,25,25,75,118
26,26,26,76,118.2
25,26,26,76,118.4
26,26,26,77,118.6
25,27,26,76,118.8
26,26,26,77,119
26,27,26,78,119.2
26,26,26,77,119.4
25,26,25,74,119.6
25,25,25,73,119.8
24,25,24,72,120
